GEO_ID,NAME,Total,<5min,5-9min,10-14min,15-19min,20-24min ,25-29min,30-34min,35-39min,40-44min,45-59min,60-89min,>90min,CNTY_NBR,Ratio
0500000US37001,"Alamance County, North Carolina",71191,2282,6119,8432,11303,9878,6308,8125,2945,5087,7673,1326,1713,0,8.86067059
0500000US37019,"Brunswick County, North Carolina",49073,629,3814,7353,9702,8018,2713,7782,1373,1041,3274,1315,2059,9,5.52849836
0500000US37021,"Buncombe County, North Carolina",101848,2036,6330,12973,25533,25838,6485,12220,2373,1646,3544,1799,1071,10,6.36733171
0500000US37023,"Burke County, North Carolina",37017,1063,3121,6014,8397,6725,2642,4512,1191,46,2244,612,450,11,7.137261258
0500000US37025,"Cabarrus County, North Carolina",88711,1898,4815,8261,17736,13807,7402,14793,4112,3439,7112,4623,713,12,8.343948327
0500000US37027,"Caldwell County, North Carolina",30960,818,3009,5286,4427,6329,2790,3135,994,1087,1955,1038,92,13,9.011627907
0500000US37031,"Carteret County, North Carolina",25913,894,2975,2764,4918,3500,2575,2723,1079,814,2222,744,705,15,9.93709721
0500000US37035,"Catawba County, North Carolina",65068,2590,7184,10382,14098,10074,4037,6741,1632,1822,2325,2425,1758,17,6.204278601
0500000US37037,"Chatham County, North Carolina",23019,610,1717,3848,2115,3431,1801,2658,1992,712,2128,1922,85,18,7.823971502
0500000US37045,"Cleveland County, North Carolina",41278,1664,5198,4396,6581,7306,3248,4598,1636,1081,2454,1930,1186,22,7.868598285
0500000US37049,"Craven County, North Carolina",42962,2126,5467,8512,6239,5889,1754,5569,1463,943,2918,1360,722,24,4.082677715
0500000US37051,"Cumberland County, North Carolina",142443,7529,17702,18727,29581,25239,9981,16474,2940,2900,5849,3734,1787,25,7.007013332
0500000US37057,"Davidson County, North Carolina",63994,964,6434,7725,14303,10712,5591,7304,2586,1644,3674,1645,1412,28,8.736756571
0500000US37063,"Durham County, North Carolina",113393,972,10964,20581,23749,19351,9172,12644,2484,2885,5789,3480,1322,31,8.088682723
0500000US37067,"Forsyth County, North Carolina",146235,2504,13149,27175,32687,24986,8882,17471,3112,3079,5712,4059,3419,33,6.073785346
0500000US37069,"Franklin County, North Carolina",28477,92,2570,2898,2102,2136,1813,5002,920,1158,5311,3832,643,34,6.366541419
0500000US37071,"Gaston County, North Carolina",89831,2256,6506,13224,12482,12515,6440,15701,4029,4009,7805,3189,1675,35,7.169017377
0500000US37081,"Guilford County, North Carolina",215111,6281,21948,31207,47996,35653,18043,28756,5418,4938,5269,6502,3100,40,8.387762597
0500000US37085,"Harnett County, North Carolina",53025,2135,3570,5203,5268,5841,4821,8650,2253,3117,5992,4775,1400,42,9.091937765
0500000US37089,"Henderson County, North Carolina",45711,1030,4709,7215,8246,7476,2848,6213,1439,2819,1496,1050,1170,44,6.230447813
0500000US37097,"Iredell County, North Carolina",75323,2218,8441,13662,13179,8975,5180,9566,2949,1468,5477,3451,757,48,6.877049507
0500000US37101,"Johnston County, North Carolina",92693,1099,5716,8468,9412,9789,6178,16899,4305,7908,12604,6875,3440,50,6.66501246
0500000US37109,"Lincoln County, North Carolina",35815,1188,2881,4241,3830,4115,2132,6105,1054,1609,4551,1987,2122,54,5.952813067
0500000US37119,"Mecklenburg County, North Carolina",389009,6795,35505,49132,64955,67429,34667,64831,15141,11938,21085,8913,8618,59,8.911619011
0500000US37125,"Moore County, North Carolina",39414,936,5378,5282,5374,3200,2206,5392,1638,775,5866,3172,195,62,5.596995991
0500000US37127,"Nash County, North Carolina",39363,1130,4933,5520,8054,5099,3238,4334,1076,809,3159,1634,377,63,8.225999035
0500000US37129,"New Hanover County, North Carolina",93337,2208,11798,17641,20584,17259,4673,9235,1945,895,1815,2913,2371,64,5.006589027
0500000US37133,"Onslow County, North Carolina",90828,6537,13693,10032,13080,13520,7859,11199,3608,1652,4490,4016,1142,66,8.652618135
0500000US37135,"Orange County, North Carolina",46505,1391,3371,7409,10184,7308,4674,5820,1439,1261,2174,1167,307,67,10.0505322
0500000US37147,"Pitt County, North Carolina",66843,1705,9435,14603,14709,7889,4170,4774,1086,1540,3802,2223,907,73,6.23849917
0500000US37151,"Randolph County, North Carolina",59272,1404,4514,7901,12565,9679,3099,6847,2524,2519,4232,2273,1715,75,5.228438386
0500000US37155,"Robeson County, North Carolina",42283,1643,5609,5219,6437,6627,2512,5259,1572,1144,3628,1426,1207,77,5.940921883
0500000US37157,"Rockingham County, North Carolina",33499,1848,4511,5184,3761,5183,2021,3225,1801,1989,2831,825,320,78,6.033015911
0500000US37159,"Rowan County, North Carolina",57200,1960,5159,8522,9640,8353,5027,7123,1231,1942,4544,2842,857,79,8.788461538
0500000US37171,"Surry County, North Carolina",29135,444,4152,4198,5467,3868,1049,2998,828,1359,2310,1618,844,85,3.600480522
0500000US37179,"Union County, North Carolina",90901,1270,7000,11974,12517,10984,8896,15412,3161,4299,10526,4010,852,89,9.786470996
0500000US37183,"Wake County, North Carolina",383672,10068,31080,47484,62848,62969,35896,58171,14263,16576,28281,9447,6589,91,9.355908172
0500000US37191,"Wayne County, North Carolina",49422,1583,8021,8639,9843,6383,2644,4939,114,1301,3102,2310,543,95,5.349844199
0500000US37193,"Wilkes County, North Carolina",22196,1097,1479,3868,4034,3057,1188,1478,530,1005,2201,1503,756,96,5.352315733
0500000US37195,"Wilson County, North Carolina",30117,1254,3746,5597,4557,3057,2000,3370,917,432,2365,2202,620,97,6.640767673
